Round,Activation,Red Health,Red Activations,Blue Health,Blue Activations
1,0,48,9,62,11
1,1,48,9,62,11
1,2,48,9,62,11
1,3,48,9,62,11
1,4,48,9,62,11
1,5,48,9,62,11
1,6,48,9,62,11
1,7,48,9,62,11
1,8,47,9,62,11
1,9,47,9,61,11
1,10,47,9,61,11
1,11,47,9,59,11
1,12,47,9,59,11
1,13,48,9,59,11
1,14,48,9,59,11
1,15,48,9,58,11
1,16,48,9,58,11
1,17,48,9,58,11
1,18,48,9,58,11
1,19,48,9,54,11
1,20,48,9,54,11
2,1,47,9,52,11
2,2,46,9,51,11
2,3,45,9,51,11
2,4,44,9,51,11
2,5,42,9,51,11
2,6,42,9,51,11
2,7,41,9,51,11
2,8,41,9,51,11
2,9,42,9,50,11
2,10,42,9,50,11
2,11,42,9,48,11
2,12,42,9,48,11
2,13,42,9,48,11
2,14,42,9,48,11
2,15,42,9,48,11
2,16,42,9,48,11
2,17,43,9,47,11
2,18,43,9,47,11
2,19,43,9,45,11
2,20,42,9,45,11
3,1,39,8,44,11
3,2,39,8,42,11
3,3,36,8,42,11
3,4,36,8,42,11
3,5,36,8,42,11
3,6,36,8,42,11
3,7,36,8,42,11
3,8,36,8,34,10
3,9,36,8,34,10
3,10,36,8,34,10
3,11,32,7,34,10
3,12,32,7,34,10
3,13,32,7,34,10
3,14,32,7,34,10
3,15,32,7,30,10
3,16,31,7,28,9
3,17,31,7,28,9
3,18,30,7,28,9
3,19,30,7,28,9
3,20,29,7,28,9
4,1,25,6,28,9
4,2,25,6,28,9
4,3,25,6,27,9
4,4,23,6,27,9
4,5,23,6,27,9
4,6,20,6,27,9
4,7,20,6,26,9
4,8,20,6,26,9
4,9,20,6,25,8
4,10,20,6,23,7
4,11,20,6,23,7
4,12,20,6,21,6
4,13,20,6,21,6
4,14,20,6,21,6
5,1,20,6,21,6
5,2,19,6,21,6
5,3,19,6,19,6
5,4,19,6,19,6
5,5,19,6,19,6
5,6,19,6,19,6
5,7,19,6,19,6
5,8,19,6,19,6
5,9,19,6,18,5
5,10,19,6,18,5
5,11,19,6,17,4